City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
talnakh,RU,69.4865,88.3972,64.9,45,17,1.34,few clouds,2021-08-06 21:48:02
busselton,AU,-33.65,115.3333,49.05,73,36,14.67,scattered clouds,2021-08-06 21:48:02
pisco,PE,-13.7,-76.2167,66.25,68,0,13.8,clear sky,2021-08-06 21:48:03
jamestown,US,42.097,-79.2353,83.52,61,40,11.5,scattered clouds,2021-08-06 21:46:55
samarai,PG,-10.6167,150.6667,77.58,78,97,11.41,overcast clouds,2021-08-06 21:48:03
bulawayo,ZW,-20.15,28.5833,55.31,30,0,5.75,clear sky,2021-08-06 21:48:04
thompson,CA,55.7435,-97.8558,71.76,37,90,4.61,smoke,2021-08-06 21:48:04
meulaboh,ID,4.1363,96.1285,76.21,87,95,4.56,overcast clouds,2021-08-06 21:48:04
saint george,US,37.1041,-113.5841,105.64,7,1,3.0,clear sky,2021-08-06 21:44:34
bredasdorp,ZA,-34.5322,20.0403,54.72,94,0,2.3,clear sky,2021-08-06 21:48:05
caravelas,BR,-17.7125,-39.2481,67.32,86,90,8.14,overcast clouds,2021-08-06 21:48:05
albany,US,42.6001,-73.9662,87.76,52,7,2.73,clear sky,2021-08-06 21:44:07
goderich,CA,43.7501,-81.7165,81.91,61,71,8.05,broken clouds,2021-08-06 21:45:00
albany,US,42.6001,-73.9662,87.76,52,7,2.73,clear sky,2021-08-06 21:44:07
ushuaia,AR,-54.8,-68.3,37.06,56,40,23.02,light rain,2021-08-06 21:48:06
san patricio,US,28.017,-97.5169,91.29,54,78,12.68,broken clouds,2021-08-06 21:48:06
saint-philippe,RE,-21.3585,55.7679,65.75,76,73,12.62,light rain,2021-08-06 21:48:07
townsville,AU,-19.25,146.8,54.48,76,67,0.0,broken clouds,2021-08-06 21:48:07
batemans bay,AU,-35.7167,150.1833,48.9,70,83,4.21,broken clouds,2021-08-06 21:48:07
gimbi,ET,9.1667,35.8333,55.33,96,98,2.64,light rain,2021-08-06 21:48:08
sao filipe,CV,14.8961,-24.4956,77.05,85,40,8.03,scattered clouds,2021-08-06 21:48:08
puerto ayora,EC,-0.7393,-90.3518,75.16,85,77,11.99,broken clouds,2021-08-06 21:48:08
tasiilaq,GL,65.6145,-37.6368,44.76,87,100,2.77,overcast clouds,2021-08-06 21:48:09
qaqortoq,GL,60.7167,-46.0333,59.5,70,5,3.49,clear sky,2021-08-06 21:48:09
magalia,US,39.8121,-121.5783,93.36,19,0,1.99,clear sky,2021-08-06 21:48:10
norman wells,CA,65.282,-126.8329,55.44,94,90,11.5,light rain,2021-08-06 21:48:10
lebu,CL,-37.6167,-73.65,50.23,87,100,4.41,moderate rain,2021-08-06 21:48:11
thompson,CA,55.7435,-97.8558,71.76,37,90,4.61,smoke,2021-08-06 21:48:04
yellowknife,CA,62.456,-114.3525,73.92,40,75,9.22,broken clouds,2021-08-06 21:45:11
palmer,US,42.1584,-72.3287,87.73,43,20,1.01,few clouds,2021-08-06 21:48:11
alekseyevsk,RU,57.8406,108.3492,57.6,98,100,4.63,overcast clouds,2021-08-06 21:48:12
loreto,MX,22.2667,-101.9667,73.02,50,100,10.07,overcast clouds,2021-08-06 21:48:12
russell,US,32.3502,-85.1999,89.31,49,40,3.44,scattered clouds,2021-08-06 21:48:12
mataura,NZ,-46.1927,168.8643,40.48,95,100,8.28,light rain,2021-08-06 21:48:13
lompoc,US,34.6391,-120.4579,90.79,72,1,12.66,mist,2021-08-06 21:45:57
bilibino,RU,68.0546,166.4372,59.31,69,68,6.91,broken clouds,2021-08-06 21:48:13
honiara,SB,-9.4333,159.95,81.46,66,9,2.55,clear sky,2021-08-06 21:48:14
tasiilaq,GL,65.6145,-37.6368,44.76,87,100,2.77,overcast clouds,2021-08-06 21:48:09
punta arenas,CL,-53.15,-70.9167,35.71,69,40,28.77,light rain,2021-08-06 21:45:22
rikitea,PF,-23.1203,-134.9692,74.57,75,15,13.69,few clouds,2021-08-06 21:48:14
avarua,CK,-21.2078,-159.775,78.85,69,75,8.05,broken clouds,2021-08-06 21:48:15
antofagasta,CL,-23.65,-70.4,58.28,80,25,6.51,scattered clouds,2021-08-06 21:46:03
busselton,AU,-33.65,115.3333,49.05,73,36,14.67,scattered clouds,2021-08-06 21:48:02
saldanha,ZA,-33.0117,17.9442,51.85,81,1,3.51,clear sky,2021-08-06 21:48:15
pyrzyce,PL,53.1462,14.8926,61.86,62,63,8.3,broken clouds,2021-08-06 21:48:15
port elizabeth,ZA,-33.918,25.5701,51.1,100,40,4.61,scattered clouds,2021-08-06 21:46:37
westport,US,41.1415,-73.3579,89.91,61,1,1.01,clear sky,2021-08-06 21:45:43
sao felix do xingu,BR,-6.6447,-51.995,81.14,33,3,2.46,clear sky,2021-08-06 21:48:16
neustadt,DE,49.7117,12.0872,59.14,93,75,0.0,broken clouds,2021-08-06 21:48:16
cabo san lucas,MX,22.8909,-109.9124,90.52,65,50,5.01,scattered clouds,2021-08-06 21:48:17
atuona,PF,-9.8,-139.0333,78.26,77,17,18.12,few clouds,2021-08-06 21:48:17
abu dhabi,AE,24.4667,54.3667,93.31,70,0,4.61,clear sky,2021-08-06 21:48:17
puerto ayora,EC,-0.7393,-90.3518,75.16,85,77,11.99,broken clouds,2021-08-06 21:48:08
albany,US,42.6001,-73.9662,87.76,52,7,2.73,clear sky,2021-08-06 21:44:07
mahibadhoo,MV,3.7833,72.9667,81.66,80,100,13.91,overcast clouds,2021-08-06 21:48:18
ahipara,NZ,-35.1667,173.1667,57.02,76,74,16.71,broken clouds,2021-08-06 21:48:18
college,US,64.8569,-147.8028,65.08,87,90,8.05,moderate rain,2021-08-06 21:47:56
fortuna,US,40.5982,-124.1573,92.48,66,20,7.0,few clouds,2021-08-06 21:48:19
cape town,ZA,-33.9258,18.4232,54.12,89,90,3.44,fog,2021-08-06 21:45:58
punta arenas,CL,-53.15,-70.9167,35.71,69,40,28.77,light rain,2021-08-06 21:45:22
erenhot,CN,43.6475,111.9767,72.82,34,2,11.23,clear sky,2021-08-06 21:48:19
cukai,MY,4.25,103.4167,77.14,91,21,2.42,few clouds,2021-08-06 21:48:19
menongue,AO,-14.6585,17.691,56.08,26,0,4.76,clear sky,2021-08-06 21:48:20
hermanus,ZA,-34.4187,19.2345,53.91,87,0,6.22,clear sky,2021-08-06 21:48:20
puerto ayora,EC,-0.7393,-90.3518,75.16,85,77,11.99,broken clouds,2021-08-06 21:48:08
gombong,ID,-7.6072,109.5142,74.59,95,25,3.02,scattered clouds,2021-08-06 21:44:21
lompoc,US,34.6391,-120.4579,90.79,72,1,12.66,mist,2021-08-06 21:45:57
ixtapa,MX,20.7,-105.2,87.22,78,100,3.0,overcast clouds,2021-08-06 21:48:21
souillac,MU,-20.5167,57.5167,70.18,68,75,14.97,light rain,2021-08-06 21:46:18
punta arenas,CL,-53.15,-70.9167,35.71,69,40,28.77,light rain,2021-08-06 21:45:22
esperance,AU,-33.8667,121.9,49.84,53,0,17.27,clear sky,2021-08-06 21:48:21
hirara,JP,24.8,125.2833,82.67,94,75,21.85,broken clouds,2021-08-06 21:48:22
busselton,AU,-33.65,115.3333,49.05,73,36,14.67,scattered clouds,2021-08-06 21:48:02
llangefni,GB,53.2556,-4.3106,60.58,88,75,26.46,haze,2021-08-06 21:48:22
vaini,TO,-21.2,-175.2,75.36,83,20,12.66,few clouds,2021-08-06 21:48:22
bandarbeyla,SO,9.4942,50.8122,75.38,83,100,28.79,overcast clouds,2021-08-06 21:48:23
rikitea,PF,-23.1203,-134.9692,74.57,75,15,13.69,few clouds,2021-08-06 21:48:14
salina cruz,MX,16.1667,-95.2,90.52,57,90,7.49,overcast clouds,2021-08-06 21:48:23
busselton,AU,-33.65,115.3333,49.05,73,36,14.67,scattered clouds,2021-08-06 21:48:02
mataura,NZ,-46.1927,168.8643,40.48,95,100,8.28,light rain,2021-08-06 21:48:13
